3.2	0.1	2.0	0.0	2.6	0.6	0.0	7.9	3.5	0.7	76.0
7.4	0.2	14.6	0.0	3.9	34.0	0.0	9.4	23.2	5.2	0.2
10.4	0.3	0.7	0.3	28.2	8.8	0.0	28.8	7.3	11.8	2.1
2.1	0.0	8.5	0.0	1.0	0.0	2.4	5.7	7.3	1.6	69.2
8.5	0.1	31.6	0.1	14.6	0.0	3.3	1.6	0.0	27.0	11.5
6.9	0.2	15.8	0.7	3.4	1.4	2.4	6.5	1.2	3.6	55.4
3.8	0.1	12.9	0.7	2.9	0.0	2.6	2.5	0.1	0.8	71.0
9.6	1.8	8.4	0.3	3.2	6.5	0.5	13.0	10.4	0.3	45.3
1.3	0.1	13.9	0.0	0.7	1.3	0.3	6.8	6.9	0.3	66.8
5.0	0.3	4.7	0.3	18.9	3.2	1.1	32.5	10.8	16.3	5.6
9.4	0.0	10.3	0.0	3.2	1.2	0.1	17.6	3.6	4.0	49.0
7.9	0.3	70.9	0.6	2.8	5.2	0.2	4.9	4.3	0.4	2.1
4.2	0.0	3.3	0.0	3.7	2.8	5.1	1.3	0.0	1.6	72.3
6.3	0.2	4.6	0.8	14.2	6.2	0.0	42.6	4.9	17.7	1.3
